__label__pos Sample with spam=0, ad=0, irrelevant=0, rant=0, unsafe=0
__label__pos Sample with spam=0, ad=0, irrelevant=0, rant=0, unsafe=1
__label__pos Sample with spam=0, ad=0, irrelevant=0, rant=1, unsafe=0
__label__pos Sample with spam=0, ad=0, irrelevant=0, rant=1, unsafe=1
__label__pos Sample with spam=0, ad=0, irrelevant=1, rant=0, unsafe=0
__label__pos Sample with spam=0, ad=0, irrelevant=1, rant=0, unsafe=1
__label__pos Sample with spam=0, ad=0, irrelevant=1, rant=1, unsafe=0
__label__pos Sample with spam=0, ad=0, irrelevant=1, rant=1, unsafe=1
__label__pos Sample with spam=0, ad=1, irrelevant=0, rant=0, unsafe=0
__label__pos Sample with spam=0, ad=1, irrelevant=0, rant=0, unsafe=1
__label__pos Sample with spam=0, ad=1, irrelevant=0, rant=1, unsafe=0
__label__pos Sample with spam=0, ad=1, irrelevant=0, rant=1, unsafe=1
__label__pos Sample with spam=0, ad=1, irrelevant=1, rant=0, unsafe=0
__label__pos Sample with spam=0, ad=1, irrelevant=1, rant=0, unsafe=1
__label__pos Sample with spam=0, ad=1, irrelevant=1, rant=1, unsafe=0
__label__pos Sample with spam=0, ad=1, irrelevant=1, rant=1, unsafe=1
__label__neg Sample with spam=1, ad=0, irrelevant=0, rant=0, unsafe=0
__label__neg Sample with spam=1, ad=0, irrelevant=0, rant=0, unsafe=1
__label__neg Sample with spam=1, ad=0, irrelevant=0, rant=1, unsafe=0
__label__neg Sample with spam=1, ad=0, irrelevant=0, rant=1, unsafe=1
__label__neg Sample with spam=1, ad=0, irrelevant=1, rant=0, unsafe=0
__label__neg Sample with spam=1, ad=0, irrelevant=1, rant=0, unsafe=1
__label__neg Sample with spam=1, ad=0, irrelevant=1, rant=1, unsafe=0
__label__neg Sample with spam=1, ad=0, irrelevant=1, rant=1, unsafe=1
__label__neg Sample with spam=1, ad=1, irrelevant=0, rant=0, unsafe=0
__label__neg Sample with spam=1, ad=1, irrelevant=0, rant=0, unsafe=1
__label__neg Sample with spam=1, ad=1, irrelevant=0, rant=1, unsafe=0
__label__neg Sample with spam=1, ad=1, irrelevant=0, rant=1, unsafe=1
__label__neg Sample with spam=1, ad=1, irrelevant=1, rant=0, unsafe=0
__label__neg Sample with spam=1, ad=1, irrelevant=1, rant=0, unsafe=1
__label__neg Sample with spam=1, ad=1, irrelevant=1, rant=1, unsafe=0
__label__neg Sample with spam=1, ad=1, irrelevant=1, rant=1, unsafe=1
